"Literal",Code
"buttinge en zandvoort",http://www.gemeentegeschiedenis.nl/amco/11443
"buurmalsen",http://www.gemeentegeschiedenis.nl/amco/10460
"cabauw",http://www.gemeentegeschiedenis.nl/amco/11275
"cadier",http://www.gemeentegeschiedenis.nl/amco/11447
"cadier en keer",http://www.gemeentegeschiedenis.nl/amco/11447
"cadzand",http://www.gemeentegeschiedenis.nl/amco/11002
"callantsoog",http://www.gemeentegeschiedenis.nl/amco/10559
"capelle",http://www.gemeentegeschiedenis.nl/amco/11233
"capelle aan den ijssel",http://www.gemeentegeschiedenis.nl/amco/11248
"capelle en botland",http://www.gemeentegeschiedenis.nl/amco/10207
"castricum",http://www.gemeentegeschiedenis.nl/amco/11287
"catharijne",http://www.gemeentegeschiedenis.nl/amco/11063
"chaam",http://www.gemeentegeschiedenis.nl/amco/11433
"charlois",http://www.gemeentegeschiedenis.nl/amco/10430
"cillaarshoek",http://www.gemeentegeschiedenis.nl/amco/10833
"clinge",http://www.gemeentegeschiedenis.nl/amco/10965
"coevorden",http://www.gemeentegeschiedenis.nl/amco/10383
"colijnsplaat",http://www.gemeentegeschiedenis.nl/amco/10121
"cothen",http://www.gemeentegeschiedenis.nl/amco/11316
"cranendonck",http://www.gemeentegeschiedenis.nl/amco/10219
"cromstrijen",http://www.gemeentegeschiedenis.nl/amco/11346
"cromvoirt",http://www.gemeentegeschiedenis.nl/amco/10053
"cuijk",http://www.gemeentegeschiedenis.nl/amco/10023
"cuijk en sint agatha",http://www.gemeentegeschiedenis.nl/amco/10023
"culemborg",http://www.gemeentegeschiedenis.nl/amco/10342
"dalem",http://www.gemeentegeschiedenis.nl/amco/10301
"dalen",http://www.gemeentegeschiedenis.nl/amco/11004
"dalfsen",http://www.gemeentegeschiedenis.nl/amco/11007
"dantumadeel",http://www.gemeentegeschiedenis.nl/amco/10650
"dantumawoude",http://www.gemeentegeschiedenis.nl/amco/10650
"darthuizen",http://www.gemeentegeschiedenis.nl/amco/11168
"de bilt",http://www.gemeentegeschiedenis.nl/amco/10168
"de knijpe",http://www.gemeentegeschiedenis.nl/amco/11018
"de lier",http://www.gemeentegeschiedenis.nl/amco/10241
"de marne",http://www.gemeentegeschiedenis.nl/amco/10180
"de mijl",http://www.gemeentegeschiedenis.nl/amco/11360
"de rijp",http://www.gemeentegeschiedenis.nl/amco/11417
"de ronde venen",http://www.gemeentegeschiedenis.nl/amco/11379
"de vennip",http://www.gemeentegeschiedenis.nl/amco/10541
"de vuursche",http://www.gemeentegeschiedenis.nl/amco/11441
"de werken en sleeuwijk",http://www.gemeentegeschiedenis.nl/amco/10116
"de wijk",http://www.gemeentegeschiedenis.nl/amco/10753
"de wolden",http://www.gemeentegeschiedenis.nl/amco/10262
"deil",http://www.gemeentegeschiedenis.nl/amco/10057
"delden",http://www.gemeentegeschiedenis.nl/amco/11400
"delfshaven",http://www.gemeentegeschiedenis.nl/amco/10908
"delft",http://www.gemeentegeschiedenis.nl/amco/10928
"delfzijl",http://www.gemeentegeschiedenis.nl/amco/10976
"den bommel",http://www.gemeentegeschiedenis.nl/amco/10293
"den dungen",http://www.gemeentegeschiedenis.nl/amco/10491
"den ham",http://www.gemeentegeschiedenis.nl/amco/10395
"den helder",http://www.gemeentegeschiedenis.nl/amco/10285
