Tabel 6: Opgave van het aantal krachtswerktuigen in de onderscheidende beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,Imagenummer
Putten,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4,
Renkum,Stoom.,,1,,,,,,,,,,1,,,,,8,,,,,,10,
,Wind.,,,,,,,,,,,,,,,,,6,,,,,,6,
Rheden,Stoom.,,2,,,,,1,,,,,,,,1,,1,,,,,,5,
,Water.,,2,,,,,2,,,,,2,,,,,1,,,1,,,8,
,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
Rosendaal,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
Ruurlo,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Scherpenzeel,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Steenderen,Wind.,,,,,,,,,,,,,,,,,8,,,,,,8,
Tiel,Stoom.,,3,,,,1,,,,,2,1,,,,2,4,,,,,,13,
,Stoom.,,1,,,,,,,,,,,,,,,,,,,,,1,
Ubbergen,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
Valburg,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
Varik,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,5,,,,,,5,
Voorst,Wind.,,,,,,,,,,,,,,,,,11,,,,,,11,
,Stoom.,,,,,,,,,,,,,,,,,2,,,,,,2,
,Gas.,,,,,,,,,,,,,,,,,1,,,,,,1,
Vorden,Water.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4,
Vuren,Wind.,,,,,,,,,,,,,,,,,,,,,,12,12,
Waardenburg,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
Wadenoijen,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,5,,,,2,,,,,,,,,,,,,,,3,,10,
Wageningen,Gas.,,,1,,,,,,,,,,,,,,,,,,,,1,
,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Wamel,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Warnsveld,Wind.,,,,,,,,,,,,,,,,,5,,,,,,5,
Wehl,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Stoom.,,,,,,,,,,,,,,,,,2,,,,,,2,
Westervoort,Wind.,,,,,,,,,,,,,,,,,2,,,,,,2,
,Stoom.,,,,,,,,,,,,,,,7,,3,,,,,,10,
Winterswijk,Gas.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind.,,,,,,,,,,,,,,,,,8,,,,,,8,
,Stoom.,,,,,,,,,,,,,,,,,2,1,,,,,3,
Wisch,Wind.,,,,,,,,,,,,,,,,,11,1,,,,,12,
Wijchen,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
Yzerdoorn,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,,,,,,,,,,,,,,,,1,,,,,,1,
Zelhem,Wind.,,,,,,,,,,,,,,,,,5,,,,,,5,
Zevenaar                                                               ,Wind.,,,,,,,,,,,,,,,,,3,,,,,,3,
,Stoom.,,,,,,,,,,,,,,,,,,1,,,,,1,
Zoelen,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
Zuilichem,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,
,Stoom.,,2,2,,,2,,,,,,,,,,1,9,,,7,,,23,
Zutphen,Gas.,,,,,,,,,,,,,,,,,7,,,,,,7,
,Wind.,,,,,,,,,,,,,,,,,4,,,,,,4,
Totaal,Stoom.,,48,4,5,2,12,13,0,5,1,5,16,3,6,14,10,105,7,0,20,14,6,296,
Totaal,Gas.,,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,19,1,0,4,2,0,36,
Totaal,Water.,,2,0,0,0,2,19,0,0,0,2,23,0,0,0,0,27,3,1,1,0,0,80,
Totaal,Wind.,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,282,2,0,3,0,16,304,
Algemeen totaal ,,,51,11,5,2,14,33,0,5,1,7,40,3,7,14,10,433,13,1,28,16,22,716,
