Tabel 5: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,Imagenr
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Tegelen,Stoom,,3,,,,,,,,,1,,,1,,,4,,,,,,9,
,Water,,1,,,,,,,,,,,,,,,,,,,,,1,
Thorn,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Ulestraten,Stoom,,,,,,,,,,,,,,,,,,1,,,,,1,
Urmond,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Vaals,Stoom,,,,,,,,,,,,,,,4,,1,,,,,,5,
,Water,,,,,,,,,,,,,,,1,,,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,
Valkenburg,Stoom,,,,,,,,,,,,,,,,,3,,,,,,3,
,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
Venlo,Stoom,,2,,,,1,,,,,,,,1,,,3,,,1,,,8,
,Gas,,,,,,,,,,,,,,,,,2,,,,,,2,
,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,
Venray,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,
,Water,,,,,,,,,,,,,,,,,3,,,,,,3,
,Wind,,,,,,,,,,,,,,,,,5,,,,,,5,
Vlodrop,Water,,,,,,,,,,,,,,,,,2,,,,,,2,
Voerendaal,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Wansum,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Weert,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,
,Wind,,,,,,,,,,,,,,,,,6,,,,,,6,
Wessum,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,
Wijlre,Water,,,,,,,,,,,,,,,,,1,,,,,,1,
Wijmandsrade,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
Witten,Water,,,,,,,,,,,,,,,,,5,,,,,,5,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,0,
Totaal,Stoom,,8,4,4,3,3,2,1,0,1,8,3,0,4,6,3,72,1,0,5,3,0,131,
Totaal,Gas,,0,5,0,0,0,0,0,0,0,2,0,0,1,0,1,10,0,0,2,0,0,21,
Totaal,Water,,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,72,3,0,0,0,0,80,
Totaal,Wind,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,6,121,
Algemeen Totaal,,,9,9,4,3,3,2,1,1,1,10,4,0,5,7,5,269,4,0,7,3,6,353,
