Tabel 6: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,,
Oeffelt,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Oerle,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Oyen c. a.,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Oirschot,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,340044
,Water,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Oisterwijk,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
Oostelbeers c. a.,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Oosterhout,Stoom,,,,,,1,,,,,,,,,,,6,,,,1,,8,,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Oploo,Water,,,,,,,,,,,,,,,,,,,,1,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,1,,,2,,
Oss,Stoom,,,,1,,1,,,,,1,,,,1,,13,,,,,,17,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Ossendrecht,Stoom,,,,,,,,,,,,,,,,,1,2,,,,,3,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Oudenbosch,Stoom,,1,,,,,1,,,,,,,,,,6,,,,,,8,,
Oud- en Nieuw- Gastel,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Oudheusden c. a.,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Prinsenhage,Stoom,,,,,,,,,,,,,,,,,4,,,,,,4,,
,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,,
Raanslonk,Stoom,,,,,,,,,,,,,,,,,1,,,1,,,2,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
