Tabel 5: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Krachts-werktuig gedreven door,,BEROEPSKLASSE,,,,,,,,,,,,,,,,,,,,,Totaal,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas.,,,2,,,,,,,,,,,,1,,6,,,,,,9,BT_1889,04_T5,660,661,FR,30_0514
Sneek,Wind.,,1,,,,,,,1,,,,,,,4,3,,,1,,,10,BT_1889,04_T5,660,661,FR,30_0514
,Stoom.,,,,,,,,,,,,,,,,,,,,,,,0,BT_1889,04_T5,660,661,FR,30_0514
Tietjerksteradeel,Wind.,,,,,,,,,,,,,,,,1,1,,,,2,,4,BT_1889,04_T5,662,663,FR,30_0515
,Stoom.,,,,,,,,,,,,,,,,1,6,48,,,,4,59,BT_1889,04_T5,662,663,FR,30_0515
Utingeradeel,Wind.,,,,,,,,,,,,,,,,2,3,,,,,,5,BT_1889,04_T5,662,663,FR,30_0515
,Stoom.,,,,,,,,,,,,,,,,1,2,,,,,,3,BT_1889,04_T5,662,663,FR,30_0515
Westdongeradeel,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,BT_1889,04_T5,662,663,FR,30_0515
,Stoom.,,,,,,,,,,,,,,,,,6,,,,,2,8,BT_1889,04_T5,662,663,FR,30_0515
Weststellingwerf,Wind.,,,,,,,,,,,,,,,,2,2,,,,,,4,BT_1889,04_T5,662,663,FR,30_0515
,Stoom.,,,,,,,,,,,,,,,,,5,,,1,,7,13,BT_1889,04_T5,662,663,FR,30_0515
Wonseradeel,Wind.,,2,,,,,,,,,,,,,,1,3,,,,5,1,12,BT_1889,04_T5,662,663,FR,30_0515
,Water.,,1,,,,,,,,,,,1,,,2,3,,,2,,1,10,BT_1889,04_T5,662,663,FR,30_0515
Workum,Wind.,,,,,,,,,,,,,,,,,1,,,,,,1,BT_1889,04_T5,662,663,FR,30_0515
,Stoom.,,,,,,1,,,,,,,,,,,,,,1,,1,3,BT_1889,04_T5,662,663,FR,30_0515
Wijmbritseradeel,Wind.,,,,,,,,,,,,,,,,2,,,,,,,2,BT_1889,04_T5,662,663,FR,30_0515
Ylst,Stoom.,,,,,,,,,,,,,,,,,2,,,,,,2,BT_1889,04_T5,662,663,FR,30_0515
,,,,,,,,,,,,,,,1,,,,,,,,,1,BT_1889,04_T5,662,663,FR,30_0515
Totaal,Stoom,,14,4,1,1,4,1,,5,,6,1,,3,1,30,52,3,,9,16,6,157,BT_1889,04_T5,662,663,FR,30_0515
Totaal,Gas,,,4,,,,1,,,,1,,,,1,,12,,,2,,,21,BT_1889,04_T5,662,663,FR,30_0515
Totaal,Water,,,,,,1,,,,,,,,,,,1,28,,,,,30,BT_1889,04_T5,662,663,FR,30_0515
Totaal,Wind,,3,,,,11,,,1,,,1,,,,17,109,154,,17,,64,377,BT_1889,04_T5,662,663,FR,30_0515
Algemeen totaal,,,17,8,1,1,16,2,0,6,0,7,2,0,3,2,47,174,185,0,28,16,70,585,BT_1889,04_T5,662,663,FR,30_0515
